Id,BBPB,BBW,CBSP,CLSP,CUSP,IIN,TC,V,PCP,CP
117,0.5654,0.0067,42,0,58,5,51,12,0.15,13465100
118,0.6083,0.0064,72,0,28,5,94,76,0.02,13467700
119,0.5777,0.0063,20,40,39,5,54,28,-0.03,13464200
120,0.6788,0.0064,54,20,25,5,31,12,0.07,13473300
121,0.6485,0.0064,50,39,11,5,28,8,-0.02,13470700
122,0.4346,0.0053,9,2,89,5,36,26,-0.15,13450300
123,0.1754,0.0054,100,0,0,5,64,26,-0.16,13429100
124,0.7328,0.0054,99,0,1,5,54,37,0.3,13469800
125,0.3299,0.0054,54,2,44,5,70,100,-0.23,13439000
126,0.4871,0.0052,39,4,57,5,20,5,0.08,13449400
127,0.428,0.0051,18,18,64,5,37,6,-0.04,13444100
128,0.5568,0.0051,27,0,73,5,49,15,0.07,13453000
129,0.4843,0.0049,20,30,50,5,35,22,-0.03,13449100
130,0.6548,0.0049,64,28,8,5,72,21,0.09,13460800
131,0.5663,0.0041,3,32,65,5,63,33,-0.03,13456500
132,0.4856,0.0038,58,10,32,5,42,38,-0.02,13453200
133,0.3636,0.0033,12,4,84,5,30,5,-0.03,13449000
134,0.7586,0.0034,66,12,22,5,21,23,0.14,13467800
135,1.0209,0.0039,44,56,0,5,52,14,0.12,13484200
136,1.0567,0.0044,44,55,0,5,15,1,0.06,13492400
137,0.9737,0.0049,0,100,0,5,36,5,0,13491800
138,0.7762,0.005,31,69,0,5,18,13,-0.09,13480000
139,0.3984,0.005,21,0,79,5,16,19,-0.19,13454000
140,0.7729,0.0051,22,78,0,5,4,0,0.19,13480000
141,0.4153,0.0051,79,1,20,5,59,26,-0.19,13454600
142,0.7971,0.0052,55,40,5,5,24,12,0.21,13483000
143,0.7333,0.0048,10,87,2,5,57,74,-0.02,13479800
144,0.6994,0.0049,6,93,0,5,45,17,-0.01,13478200
145,0.4391,0.0046,84,4,12,5,34,11,-0.12,13462400
146,0.6776,0.0045,4,95,1,5,40,66,0.12,13478400
147,0.6613,0.0043,3,68,28,5,55,312,0,13478600
148,0.5684,0.0041,32,15,53,5,38,46,-0.03,13474200
149,0.7589,0.004,52,48,0,5,57,194,0.09,13486100
150,0.8445,0.0041,86,14,0,5,71,52,0.05,13492900
151,1.1509,0.0049,72,28,0,5,72,74,0.2,13520000
152,0.8953,0.005,61,39,0,5,29,49,-0.1,13506100
153,1.1865,0.0058,100,0,0,5,64,66,0.23,13537700
154,0.8397,0.006,34,3,63,5,17,18,-0.18,13513800
155,0.9575,0.0066,41,5,54,5,51,15,0.11,13529300
156,0.8707,0.007,18,21,60,5,36,12,-0.03,13525300
157,0.7853,0.0072,84,16,0,5,27,5,-0.04,13519600
158,0.7456,0.0074,6,10,84,5,60,14,-0.01,13518100
159,0.6747,0.007,31,21,49,5,51,11,-0.04,13513000
160,0.9954,0.0077,85,14,1,5,120,25,0.29,13551800
161,0.943,0.0077,3,97,0,5,9,3,0,13551300
162,0.9294,0.0083,31,69,0,5,56,21,0.04,13556600
163,0.7297,0.0082,99,1,1,5,46,65,-0.14,13537000
164,0.6965,0.008,12,88,0,5,40,161,-0.01,13535700
165,0.6787,0.0073,0,36,64,5,66,14,0,13535700
166,0.5873,0.0068,28,14,59,5,27,22,-0.05,13528600
167,0.6021,0.0062,57,43,0,5,26,9,0.02,13531800
168,0.7179,0.0053,90,9,1,5,55,15,0.08,13542400
169,0.6236,0.0046,24,76,0,5,52,16,-0.04,13536900
170,0.6948,0.004,100,0,0,5,32,6,0.04,13542100
171,0.6755,0.0039,9,91,0,5,51,19,0,13542100
172,0.5731,0.0035,32,67,1,5,57,28,-0.03,13537800
173,0.0379,0.0039,56,17,28,5,86,68,-0.21,13508700
174,0.5657,0.0037,62,13,24,5,49,37,0.21,13537300
175,0.836,0.0038,24,76,0,5,63,45,0.11,13552600
176,0.9076,0.0041,95,4,0,5,74,57,0.05,13559300
177,0.8791,0.0041,19,80,1,5,53,17,0.01,13560200
178,0.8898,0.0042,34,56,10,5,28,10,0.02,13563200
179,0.7906,0.0038,12,48,40,5,92,56,-0.03,13558600
180,0.9984,0.0043,5,88,8,5,32,4,0.11,13573400
181,1.1496,0.0053,65,34,1,5,91,50,0.15,13593200
182,1.0191,0.006,7,22,71,5,109,23,-0.02,13590300
183,0.9889,0.0066,14,0,86,5,74,21,0.04,13595100
184,1.0434,0.0075,66,33,1,5,52,10,0.11,13610500
185,0.9222,0.008,16,75,9,5,28,36,-0.04,13604500
186,0.6998,0.0079,8,51,41,5,77,61,-0.16,13582600
187,0.4592,0.0077,76,0,24,5,60,25,-0.18,13558200
188,0.2568,0.0078,52,0,48,5,47,27,-0.16,13536600
189,0.2813,0.0077,9,20,71,5,38,31,0.02,13539400
190,0.2231,0.0079,27,60,13,5,76,53,-0.05,13532300
191,0.2412,0.008,27,22,51,5,67,64,0.01,13533400
192,0.0007,0.0088,42,0,58,5,50,85,-0.25,13500000
193,0.139,0.0086,32,41,27,5,54,32,0.13,13518000
194,0.0789,0.0091,20,12,69,5,90,49,-0.09,13506200
195,0.1938,0.0095,31,0,69,5,113,40,0.08,13517100
196,0.187,0.0099,75,15,11,5,118,33,-0.04,13512100
197,0.2187,0.0103,7,5,88,5,43,14,0,13512700
198,0.2772,0.0105,22,51,27,5,44,14,0.04,13518000
199,0.2955,0.0106,99,0,1,5,81,45,0,13518100
200,0.18,0.011,70,11,19,5,46,13,-0.16,13496100
201,0.2693,0.0107,29,27,44,5,74,17,0.07,13505900
202,0.2528,0.0104,20,37,43,5,51,22,-0.04,13500000
203,0.13,0.0102,58,0,42,5,42,13,-0.16,13478000
204,0.3769,0.0086,52,47,1,5,54,36,0.23,13509600
205,0.2562,0.0068,53,45,2,5,32,11,-0.1,13496000
206,0.0935,0.0057,37,1,62,5,61,18,-0.1,13482300
207,0.0132,0.0054,29,71,0,5,139,30,-0.06,13474000
208,0.0546,0.0055,4,93,3,5,94,48,-0.01,13472900
209,-0.0114,0.0057,86,1,14,5,48,25,-0.07,13462900
210,0.133,0.0057,0,100,0,5,73,24,0.06,13471200
211,0.2425,0.0053,23,0,77,5,84,79,0.05,13478000
212,0.1853,0.0055,23,0,77,5,59,57,-0.05,13471500
213,0.0082,0.006,100,0,0,5,86,37,-0.14,13452200
214,0.5242,0.0059,52,0,48,5,90,40,0.3,13493000
215,0.7666,0.0058,64,36,0,5,49,28,0.14,13511600
216,0.3142,0.0057,71,18,11,5,78,22,-0.27,13474700
217,0.1434,0.0058,10,49,41,5,133,29,-0.12,13458500
218,0.169,0.0056,2,98,0,5,75,32,0,13458200
219,-0.0864,0.006,22,44,34,5,169,53,-0.2,13431200
220,-0.1499,0.0074,30,37,33,5,144,54,-0.16,13410000
221,-0.118,0.0086,22,50,28,5,197,71,-0.09,13397800
222,-0.059,0.0097,27,42,31,5,81,97,-0.05,13390800
223,-0.0066,0.0109,25,75,0,5,105,108,-0.04,13384800
224,-0.0305,0.0118,98,1,1,5,105,151,-0.13,13367500
225,0.0503,0.0126,27,47,26,5,125,146,0.02,13369600
226,0.0009,0.0139,61,17,23,5,270,65,-0.18,13345800
227,-0.063,0.016,69,19,12,5,338,79,-0.27,13309900
228,-0.1869,0.0202,86,2,12,5,475,145,-0.59,13232000
229,-0.0218,0.0228,28,26,46,5,490,316,0.12,13248200
230,0.0258,0.0249,14,58,28,5,338,75,-0.08,13238000
231,0.0239,0.027,88,12,0,5,113,18,-0.21,13210800
232,0.1425,0.0279,71,29,0,5,252,122,0.21,13237900
233,0.1,0.0294,27,21,52,5,125,130,-0.27,13201600
234,0.1682,0.0293,22,22,56,5,80,12,0.1,13214900
235,0.1668,0.0284,12,65,23,5,363,49,-0.09,13203300
236,0.108,0.0285,12,3,85,5,130,32,-0.29,13165200
237,0.1373,0.0283,71,0,29,5,120,43,-0.02,13162400
238,0.1164,0.0279,49,0,51,5,108,14,-0.16,13140900
239,0.1056,0.0279,26,29,46,5,522,140,-0.15,13121700
240,-0.1438,0.0324,86,5,9,5,906,222,-1.16,12969300
241,-0.1396,0.0379,77,0,23,5,724,224,-0.53,12900100
242,-0.1007,0.0433,62,14,24,5,667,159,-0.38,12850800
243,0.1022,0.0443,65,23,11,5,406,211,0.69,12939300
244,0.1085,0.0452,65,26,9,5,156,30,-0.18,12916000
245,0.1151,0.0456,40,21,39,5,247,113,-0.16,12895000
246,0.1433,0.0454,14,3,83,5,85,25,-0.04,12890000
247,0.2651,0.0442,76,22,2,5,191,127,0.45,12948600
248,0.3013,0.0437,49,27,24,5,119,34,0.07,12957100
249,0.2155,0.0434,72,20,8,5,175,62,-0.51,12891400
250,0.2487,0.0426,11,24,65,5,150,112,0.03,12895900
251,0.2375,0.0421,43,1,56,5,126,54,-0.16,12874900
252,0.259,0.0402,1,64,35,5,43,8,0,12874600
253,0.3338,0.0381,76,24,0,5,134,83,0.22,12903400
254,0.3011,0.0352,68,4,29,5,76,30,-0.2,12878200
255,0.2699,0.0318,43,13,43,5,110,108,-0.17,12856900
256,0.3824,0.0281,64,7,29,5,89,146,0.3,12895300
257,0.4551,0.0232,12,65,23,5,102,252,0.13,12912100
258,0.5179,0.0175,11,89,0,5,102,60,0.05,12918500
259,0.6123,0.0095,2,73,25,5,106,68,0,12918100
260,0.6847,0.0085,16,46,38,5,78,76,0.03,12922100
261,0.4098,0.0085,57,36,8,5,124,106,-0.24,12891600
262,0.2561,0.0079,26,47,27,5,85,45,-0.11,12878000
263,1.0658,0.0087,74,7,19,5,247,153,0.7,12968000
264,1.0331,0.01,21,21,58,5,111,45,0.06,12975800
265,0.6447,0.01,96,4,0,5,61,54,-0.37,12927600
266,0.5689,0.0099,17,42,41,5,67,24,-0.06,12919200
267,0.1681,0.01,76,24,0,5,115,61,-0.43,12863100
268,0.1445,0.0099,23,77,0,5,249,86,-0.06,12855600
269,0.1366,0.0105,0,37,63,5,150,91,-0.05,12849800
270,0.0837,0.0113,34,11,55,5,164,97,-0.12,12835000
271,0.1473,0.0119,23,17,60,5,97,59,0.04,12840100
272,0.1721,0.0124,1,0,99,5,154,247,0,12840100
273,0.0911,0.0133,59,41,0,5,299,115,-0.17,12817900
274,0.0453,0.0147,9,38,53,5,316,155,-0.15,12798300
275,0.0106,0.0163,26,3,71,5,251,61,-0.16,12777700
276,0.008,0.0182,96,4,1,5,86,10,-0.15,12758100
277,0.2507,0.0185,34,50,16,5,111,74,0.4,12808900
278,0.2393,0.0187,21,79,0,5,113,47,-0.07,12799600
279,0.2244,0.0189,38,0,62,5,115,41,-0.08,12788900
280,0.4022,0.0183,40,12,48,5,187,87,0.31,12828000
281,0.4546,0.0181,21,46,33,5,143,70,0.08,12837800
282,0.5968,0.0181,91,0,9,5,103,13,0.25,12870500
283,0.7871,0.0165,64,36,0,5,107,25,0.27,12905800
284,0.678,0.0138,100,0,0,5,57,34,-0.27,12871200
285,0.7699,0.0127,23,17,60,5,82,58,0.08,12881300
286,0.6585,0.0114,58,6,36,5,80,20,-0.19,12857400
287,0.5579,0.0112,40,0,60,5,83,26,-0.12,12841500
288,0.7563,0.0114,53,20,27,5,119,60,0.23,12871500
289,0.6565,0.0115,95,1,4,5,76,31,-0.11,12857400
290,0.572,0.0115,34,0,66,5,47,20,-0.09,12845500
291,0.6952,0.0117,27,34,40,5,143,54,0.15,12865400
292,0.5099,0.0117,72,0,28,5,53,17,-0.22,12837500
293,0.6269,0.0117,20,80,0,5,41,103,0.15,12857000
294,0.5713,0.0114,26,38,36,5,20,9,-0.05,12851000
295,0.6372,0.0105,77,18,5,5,60,32,0.1,12863400
296,0.5821,0.0085,17,71,12,5,38,27,-0.03,12858900
297,0.4807,0.008,60,40,0,5,90,144,-0.07,12850000
298,0.4682,0.0071,22,78,0,5,97,40,0.01,12851700
299,0.1633,0.0055,56,35,10,5,77,22,-0.15,12832800
300,0.4,0.0052,56,34,11,5,90,47,0.14,12851300
301,0.3481,0.005,76,16,8,5,57,15,-0.02,12848700
302,0.212,0.0051,38,62,0,5,70,37,-0.08,12837900
303,-0.0589,0.0044,75,16,9,5,60,91,-0.13,12821300
304,-0.089,0.0049,72,28,0,5,68,186,-0.07,12812300
305,-0.0183,0.005,3,2,95,5,87,46,0.01,12813000
306,-0.1191,0.006,98,1,1,5,84,78,-0.14,12795500
307,-0.0065,0.0068,13,3,84,5,87,20,0.01,12796900
308,-0.1389,0.0079,80,2,17,5,139,63,-0.2,12771000
309,0.0347,0.0086,28,37,36,5,134,104,0.08,12780800
310,-0.0903,0.0102,37,45,18,5,309,114,-0.24,12750400
311,-0.1519,0.0122,19,1,80,5,325,59,-0.26,12717800
312,0.0717,0.0132,77,8,15,5,138,84,0.2,12742600
313,0.102,0.0138,11,30,59,5,82,33,-0.03,12738700
314,0.0417,0.0149,100,0,0,5,87,46,-0.19,12715000
315,0.0331,0.0158,54,0,46,5,204,38,-0.12,12700000
316,0.0434,0.0166,22,58,20,5,463,195,-0.09,12688700
317,0.4729,0.016,78,21,2,5,338,169,0.69,12776600
318,0.5518,0.0152,58,0,42,5,181,38,0.1,12789100
319,0.8982,0.0158,44,20,37,5,211,90,0.56,12860900
320,1.0251,0.0171,58,3,40,5,130,158,0.28,12897400
321,0.8963,0.0176,37,43,20,5,87,53,-0.19,12873200
322,0.8142,0.0179,35,25,40,5,110,57,-0.13,12857000
323,0.9383,0.0194,100,0,0,5,88,24,0.31,12897400
324,0.7709,0.0199,48,1,51,5,83,126,-0.29,12860200
325,0.7965,0.0206,36,44,20,5,70,52,0.09,12872400
326,0.8045,0.0215,16,38,46,5,94,37,0.08,12882200
327,0.7995,0.0224,52,34,15,5,110,18,0.05,12888700
328,0.6504,0.0224,39,8,53,5,67,24,-0.3,12850200
329,0.6381,0.0225,72,0,27,5,49,14,0,12850300
330,0.6124,0.0222,91,6,4,5,45,33,-0.02,12847300
331,0.6567,0.0213,79,5,16,5,76,40,0.14,12865500
332,0.647,0.0207,63,35,2,5,36,8,0.02,12868000
333,0.5429,0.0197,69,0,31,5,133,170,-0.18,12845100
334,0.5199,0.0177,1,0,99,5,152,72,0,12845300
335,0.5304,0.0146,69,2,29,5,74,39,0.07,12854200
