Id,BBPB,BBW,CBSP,CLSP,CUSP,IIN,TC,V,PCP,CP
446,0.2954,0.0405,66,7,27,5,188,47,0.8,12425900
447,0.3154,0.0398,46,50,4,5,122,21,0,12425600
448,0.3638,0.0386,37,63,0,5,92,18,0.12,12440500
449,0.3976,0.0368,74,24,2,5,84,49,0.06,12447900
450,0.2311,0.0356,85,2,13,5,163,109,-0.71,12360000
451,0.3154,0.0333,68,0,32,5,80,56,0.23,12388800
452,0.2957,0.0312,47,18,36,5,79,102,-0.13,12372500
453,0.406,0.0284,47,2,52,5,114,65,0.28,12407500
454,0.4656,0.0247,40,29,32,5,65,21,0.1,12419500
455,0.6119,0.0204,88,0,12,5,86,55,0.24,12449800
456,0.7343,0.0172,100,0,0,5,96,57,0.13,12466000
457,0.8772,0.0138,38,54,8,5,34,15,0.08,12476000
458,0.5572,0.0122,95,5,0,5,47,18,-0.48,12415700
459,1.2523,0.0168,83,3,15,5,252,102,1.26,12571700
460,1.157,0.0205,77,0,23,5,115,39,0.17,12593500
461,0.8838,0.0217,71,0,29,5,93,38,-0.45,12537100
462,0.9768,0.024,79,21,0,5,111,144,0.38,12585000
463,0.8985,0.0252,21,16,63,5,59,95,-0.06,12577800
464,0.8623,0.0259,60,0,40,5,40,79,0.02,12580200
465,0.8011,0.0248,44,28,28,5,93,91,-0.09,12568600
466,0.8675,0.026,80,20,0,5,69,164,0.28,12603800
467,0.813,0.0268,28,65,6,5,72,121,-0.05,12597700
468,0.7248,0.0271,3,10,87,5,63,61,-0.17,12575800
469,0.6424,0.027,69,22,9,5,105,58,-0.18,12553100
470,0.6251,0.025,5,0,95,5,57,72,0.01,12553800
471,0.5535,0.0232,71,0,28,5,98,107,-0.13,12537700
472,0.2483,0.021,93,7,0,5,155,152,-0.62,12460200
473,0.1943,0.0199,37,47,15,5,107,33,-0.06,12452400
474,0.114,0.0195,38,48,14,5,64,50,-0.14,12435100
475,0.1027,0.02,51,35,15,5,102,142,-0.05,12428900
476,0.0572,0.0213,59,0,41,5,142,70,-0.17,12407300
477,0.1264,0.0224,33,0,67,5,106,55,0.09,12418000
478,0.1284,0.0223,4,0,95,5,62,93,0.01,12419100
479,0.2748,0.0225,86,13,1,5,141,138,0.28,12453500
480,0.3792,0.0219,37,0,63,5,172,95,0.2,12478000
481,0.4442,0.0219,36,46,19,5,80,76,0.13,12493700
482,0.6326,0.0213,72,0,28,5,132,84,0.39,12542200
483,0.5692,0.0207,36,64,0,5,60,31,-0.16,12522000
484,0.4311,0.02,38,17,45,5,81,36,-0.32,12481900
485,0.4785,0.0194,25,5,70,5,28,13,0.06,12490000
486,0.4699,0.0176,57,0,43,5,60,55,-0.06,12482500
487,0.4868,0.0158,5,69,26,5,62,41,-0.01,12480700
488,0.4128,0.0143,37,62,0,5,96,54,-0.15,12462100
489,0.3214,0.0133,6,21,73,5,39,40,-0.16,12442400
490,0.3355,0.012,1,28,70,5,79,18,0,12441800
491,0.3418,0.0109,12,0,88,5,50,41,-0.01,12440000
492,0.3465,0.0111,22,1,76,5,47,27,0,12439400
493,0.4491,0.0111,4,96,0,5,49,26,0.11,12453600
494,0.719,0.0111,47,53,0,5,47,35,0.32,12493900
495,0.4348,0.0108,80,0,20,5,54,20,-0.3,12456100
496,0.4318,0.01,9,62,29,5,69,84,0.02,12459000
497,0.8567,0.0098,57,11,32,5,153,83,0.46,12516200
498,0.8296,0.0095,1,31,68,5,119,31,0,12516200
499,0.7424,0.0095,97,3,0,5,70,118,-0.06,12508900
500,0.861,0.0101,27,62,11,5,26,6,0.15,12528100
501,0.7778,0.0104,32,1,68,5,58,44,-0.06,12520000
502,0.9448,0.0104,49,51,0,5,46,24,0.17,12541600
503,0.912,0.0108,4,31,64,5,64,104,-0.01,12540400
504,0.8164,0.0113,42,0,58,5,83,150,-0.07,12531900
505,0.7596,0.0116,16,59,25,5,69,121,-0.04,12526800
506,0.7549,0.012,14,76,9,5,70,66,0.02,12529500
507,0.5344,0.0119,65,34,1,5,105,65,-0.26,12497400
508,0.5398,0.0117,43,0,57,5,52,26,0.02,12500000
509,0.5889,0.0111,2,88,10,5,78,68,0.08,12509900
510,0.5347,0.0104,26,60,14,5,57,32,-0.04,12505200
511,0.3748,0.0094,95,5,0,5,41,44,-0.13,12488400
512,0.5865,0.0082,48,0,52,5,62,34,0.22,12515800
513,0.5711,0.0072,49,0,51,5,24,5,0.01,12516500
514,0.7203,0.0073,12,83,5,5,27,10,0.12,12532000
515,0.5173,0.006,41,33,26,5,44,28,-0.13,12516300
516,0.656,0.0044,35,54,10,5,42,10,0.09,12527000
517,0.1485,0.0046,31,0,69,5,24,14,-0.24,12497000
518,-0.0846,0.0055,86,0,14,5,48,23,-0.18,12475100
519,0.0508,0.006,99,1,0,5,51,25,0.04,12480100
520,-0.2251,0.0079,67,33,0,5,123,293,-0.34,12437300
521,-0.2363,0.0107,59,41,0,5,134,56,-0.26,12404800
522,-0.1066,0.0125,10,90,0,5,120,61,-0.02,12402000
523,-0.1474,0.015,40,15,45,5,97,23,-0.29,12366600
524,-0.014,0.0166,31,42,27,5,89,40,0.05,12373300
525,0.0253,0.0181,37,63,0,5,72,99,-0.07,12364800
526,0.0969,0.019,17,81,3,5,112,44,0.03,12368700
527,0.0729,0.0204,17,62,21,5,100,41,-0.17,12347700
528,0.2505,0.0207,37,21,42,5,166,126,0.31,12386300
529,0.2977,0.0206,34,1,65,5,35,7,0.05,12392900
530,0.3788,0.0203,40,6,54,5,98,45,0.13,12409500
531,0.6228,0.0201,97,0,3,5,66,22,0.49,12469900
532,0.6248,0.0194,7,52,41,5,72,30,-0.02,12466900
533,0.7072,0.0189,41,0,59,5,160,39,0.13,12483700
534,0.7629,0.018,20,47,33,5,106,28,0.07,12491900
535,0.8081,0.0176,18,37,45,5,173,64,0.06,12499800
536,0.8437,0.0171,6,18,76,5,68,18,0.03,12504000
537,0.8811,0.0175,14,59,27,5,82,68,0.09,12514700
538,0.7413,0.0176,83,0,17,5,96,110,-0.23,12485300
539,0.715,0.0176,54,10,37,5,81,30,-0.05,12479500
540,0.7499,0.0181,34,58,8,5,52,11,0.09,12491300
541,0.6894,0.0182,56,17,27,5,60,50,-0.08,12481900
542,0.6103,0.0181,100,0,0,5,51,10,-0.12,12467100
543,0.6162,0.0173,40,1,60,5,72,50,0.04,12472600
544,0.5595,0.0164,99,0,1,5,71,36,-0.07,12464300
545,0.4932,0.0151,24,6,70,5,69,23,-0.07,12455400
546,0.4385,0.0136,13,87,0,5,65,39,-0.04,12450300
547,0.5373,0.0108,34,23,43,5,130,75,0.17,12472000
548,0.7455,0.0093,4,47,49,5,84,41,0.23,12501100
549,0.8765,0.0076,25,61,14,5,67,26,0.11,12514700
550,0.8813,0.0061,13,86,0,5,85,19,-0.01,12512900
551,0.7556,0.0062,3,71,26,5,94,27,-0.06,12505400
552,0.8129,0.0063,68,31,1,5,58,95,0.06,12512500
553,0.0265,0.0069,65,35,0,5,161,64,-0.54,12445000
554,0.3175,0.007,74,13,12,5,94,82,0.19,12468900
555,0.423,0.007,49,0,51,5,57,61,0.07,12477100
556,0.3512,0.0069,59,10,31,5,61,31,-0.06,12469300
557,1.2233,0.0086,63,21,16,5,184,100,0.75,12562200
558,1.0889,0.0102,2,39,60,5,74,12,0.01,12563600
559,1.0288,0.0117,30,3,66,5,57,52,0.05,12570000
560,1.0366,0.0134,88,0,12,5,73,28,0.14,12587600
561,0.8297,0.014,81,15,5,5,109,46,-0.22,12559300
562,0.8041,0.0143,3,46,51,5,73,93,0.01,12560800
563,0.7129,0.0144,39,16,45,5,96,28,-0.1,12548400
564,0.8449,0.0148,96,4,0,5,67,99,0.25,12579500
565,0.9572,0.0155,44,0,56,5,162,40,0.26,12612400
566,1.0557,0.0169,50,35,14,5,113,23,0.31,12651300
567,0.9361,0.0177,30,13,57,5,59,14,-0.1,12639100
568,0.7757,0.0181,56,7,37,5,34,14,-0.23,12610000
569,0.7493,0.0184,22,41,37,5,84,13,0,12609800
570,0.7501,0.0187,19,81,0,5,73,35,0.05,12616000
571,0.7741,0.0189,44,17,40,5,70,60,0.1,12628500
572,0.5663,0.0185,60,24,16,5,97,16,-0.36,12582500
573,0.6076,0.0163,35,54,11,5,53,12,0.11,12596700
574,0.4941,0.0143,2,43,55,5,45,58,-0.14,12579100
575,0.5955,0.0123,36,40,24,5,38,22,0.17,12601100
576,0.3529,0.0089,86,1,13,5,58,46,-0.21,12575200
577,0.479,0.0086,94,1,5,5,51,36,0.12,12590800
578,0.4374,0.0084,7,0,93,5,63,22,-0.02,12587700
579,0.8261,0.0086,38,19,43,5,59,22,0.36,12632600
580,0.8675,0.0091,37,2,62,5,36,8,0.08,12642100
581,0.4895,0.0086,61,39,0,5,114,69,-0.32,12601100
582,0.5768,0.008,35,53,12,5,34,9,0.09,12612600
583,1.0145,0.0078,80,20,0,5,90,70,0.39,12661200
584,1.3584,0.0121,92,0,8,5,284,95,0.71,12750600
585,1.2215,0.0162,75,24,1,5,150,22,0.19,12774600
586,1.1063,0.0194,18,0,81,5,135,17,0.06,12781900
587,1.1454,0.024,45,14,41,5,258,45,0.45,12839500
588,1.1415,0.0295,99,0,1,5,265,50,0.45,12897600
589,1.1378,0.0361,50,26,23,5,335,272,0.54,12967600
590,1.049,0.0414,7,31,62,5,104,23,0.12,12982800
591,0.9746,0.0456,6,0,94,5,299,243,0.04,12987500
592,1.0092,0.0504,42,14,44,5,330,147,0.58,13063200
593,0.8429,0.052,74,0,26,5,299,104,-0.62,12982800
594,0.8729,0.0535,65,33,2,5,341,156,0.39,13033300
595,0.9391,0.0567,94,6,0,5,232,230,0.69,13123100
596,0.906,0.0583,16,53,30,5,497,358,0.1,13136400
597,0.9,0.0598,44,44,12,5,339,183,0.25,13168800
598,0.896,0.0605,53,20,27,5,271,169,0.24,13200800
599,0.7856,0.0596,62,0,38,5,477,225,-0.48,13137000
600,0.796,0.0584,13,87,0,5,383,88,0.23,13167000
601,0.7816,0.0548,12,21,67,5,143,67,0.04,13172200
602,0.7622,0.0499,17,33,50,5,135,98,-0.02,13170000
603,1.0503,0.0506,91,2,7,5,438,272,1.75,13400000
604,0.9901,0.0519,4,0,96,5,272,89,0.01,13401600
605,0.8616,0.0503,43,44,13,5,278,103,-0.49,13335700
606,0.7155,0.046,48,26,26,5,187,56,-0.64,13251000
607,0.6957,0.0422,2,60,37,5,151,45,-0.01,13250000
608,0.6303,0.0389,43,57,0,5,170,61,-0.19,13224400
609,0.6329,0.0368,19,2,79,5,142,79,0.08,13235500
610,0.6211,0.0345,7,42,52,5,89,79,0.03,13239100
611,0.7133,0.0323,61,26,13,5,177,101,0.38,13290000
612,0.64,0.0311,44,42,14,5,83,27,-0.17,13266800
613,0.6383,0.027,38,21,41,5,112,47,0.05,13273200
614,0.625,0.0237,6,35,59,5,136,45,0.01,13275100
615,0.8014,0.0233,53,10,37,5,162,150,0.49,13339600
616,0.8046,0.0229,13,50,36,5,179,173,0.08,13349700
617,0.7896,0.0228,7,41,51,5,132,83,0.04,13354400
618,0.7215,0.0228,35,45,20,5,82,37,-0.1,13340800
619,0.778,0.0215,38,53,10,5,85,88,0.18,13364400
620,0.7548,0.0204,17,0,82,5,234,130,0,13364100
621,0.5191,0.0186,50,27,23,5,215,99,-0.43,13306300
622,0.4428,0.0162,42,26,33,5,144,121,-0.08,13295500
623,0.1023,0.0161,56,18,26,5,384,255,-0.62,13213600
624,0.2585,0.0148,56,23,22,5,196,89,0.22,13243200
625,0.3527,0.0146,18,42,40,5,46,16,0.11,13258200
626,0.3448,0.0145,2,0,98,5,104,83,-0.01,13257100
627,0.4905,0.0143,65,35,0,5,50,55,0.23,13287100
628,0.2107,0.0141,54,37,10,5,65,23,-0.39,13235300
629,0.193,0.0142,19,24,57,5,96,95,-0.03,13231500
630,-0.0135,0.0156,36,52,11,5,188,102,-0.39,13180100
631,0.1044,0.0167,43,56,2,5,93,99,0.1,13193700
632,0.0776,0.0181,2,41,57,5,100,102,-0.14,13175400
633,0.2763,0.0185,91,2,7,5,94,72,0.33,13219300
634,0.1849,0.0193,55,13,32,5,68,46,-0.23,13189100
635,0.1425,0.0198,23,67,10,5,109,34,-0.17,13167300
636,0.145,0.02,32,0,68,5,60,20,-0.07,13157800
637,0.0027,0.021,55,45,0,5,215,97,-0.43,13100900
638,-0.0139,0.0224,68,12,20,5,106,38,-0.21,13073200
639,0.0084,0.0227,16,34,50,5,157,74,-0.08,13063000
640,-0.0252,0.0229,70,30,0,5,208,116,-0.21,13035200
641,0.0003,0.0243,40,39,21,5,105,71,-0.12,13019800
642,0.0644,0.025,28,38,34,5,156,88,0.02,13022600
643,-0.049,0.0288,75,25,0,5,284,107,-0.6,12945100
644,0.1501,0.0296,75,25,0,5,179,157,0.46,13004500
645,0.2444,0.0293,65,0,35,5,106,41,0.2,13031000
646,0.4086,0.0281,100,0,0,5,108,50,0.43,13087300
647,0.4439,0.0256,31,22,47,5,100,33,0.04,13092400
648,0.4847,0.0241,67,1,33,5,84,19,0.05,13099600
649,0.5254,0.0224,22,25,53,5,69,37,0.05,13105600
650,0.5477,0.0217,24,24,52,5,133,62,0.02,13108100
651,0.5662,0.0206,1,0,99,5,80,99,0,13108100
652,0.7093,0.0201,51,0,49,5,138,94,0.27,13143700
653,0.841,0.0188,11,19,70,5,179,52,0.2,13170200
654,0.7157,0.0177,88,2,10,5,54,30,-0.28,13133500
655,0.6721,0.0169,74,22,4,5,51,35,-0.11,13119200
656,0.884,0.0172,61,37,2,5,103,98,0.37,13167800
657,0.8953,0.0184,30,53,17,5,107,50,0.1,13180500
658,0.8562,0.0194,85,4,10,5,56,24,0.01,13181400
659,0.8208,0.0202,1,1,98,5,43,26,0,13181700
660,0.7962,0.0205,12,1,86,5,67,51,0.02,13183800
661,0.7959,0.0204,1,33,67,5,46,36,0.06,13191900
662,0.4972,0.0193,100,0,0,5,86,74,-0.57,13116900
663,0.611,0.0152,47,41,13,5,74,34,0.25,13150000
664,0.4379,0.0125,74,0,26,5,63,57,-0.2,13123600
665,0.4582,0.0103,89,0,11,5,63,68,0.07,13133300
666,0.5591,0.0096,99,0,1,5,67,27,0.12,13149500
667,0.4625,0.009,16,74,10,5,60,45,-0.07,13140000
668,0.4409,0.0084,0,62,38,5,59,121,0,13139900
669,0.5266,0.0079,10,38,52,5,69,32,0.09,13151500
670,0.6748,0.0075,61,0,39,5,77,20,0.13,13169000
671,0.4025,0.0069,80,0,20,5,94,38,-0.18,13144800
672,0.4891,0.0068,7,0,93,5,66,37,0.06,13153100
673,0.728,0.0069,25,75,0,5,113,73,0.17,13175000
674,1.2417,0.0092,79,21,0,5,242,94,0.57,13249900
675,1.1214,0.0106,67,5,28,5,244,49,0.03,13253900
676,0.8219,0.0111,20,40,39,5,136,28,-0.28,13216500
677,0.9541,0.0122,54,24,21,5,160,68,0.22,13245600
678,0.8106,0.0127,8,54,39,5,106,39,-0.14,13226900
679,0.9518,0.014,59,41,0,5,107,86,0.27,13262000
680,0.8842,0.0149,18,35,47,5,93,76,-0.03,13258100
681,0.8247,0.0156,6,60,35,5,101,108,-0.04,13252400
682,0.9013,0.016,87,0,13,5,59,63,0.19,13278200
683,0.6814,0.0159,90,0,10,5,125,15,-0.32,13236000
684,0.7331,0.0154,41,0,59,5,88,22,0.12,13251700
685,0.113,0.0156,64,24,13,5,308,135,-0.96,13124300
686,0.1446,0.016,28,67,5,5,153,39,0.03,13127800
687,0.1574,0.0162,4,39,57,5,96,34,0.01,13129000
688,0.2088,0.0162,34,0,66,5,52,73,0.08,13140000
689,0.2955,0.0161,7,83,10,5,56,23,0.15,13159200
690,0.1395,0.0169,99,1,1,5,36,12,-0.3,13119900
691,0.204,0.0171,21,79,0,5,51,11,0.1,13132900
692,0.319,0.017,69,31,0,5,65,16,0.2,13159300
693,0.2544,0.0174,60,7,33,5,99,48,-0.13,13142000
694,0.2308,0.0175,68,6,26,5,84,21,-0.09,13130000
695,0.28,0.0174,21,0,79,5,103,18,0.05,13136000
696,0.4059,0.0173,29,70,1,5,152,67,0.2,13162200
697,0.445,0.0168,14,43,43,5,142,92,0.04,13167600
698,0.5145,0.0165,13,37,49,5,82,20,0.1,13180600
699,0.5533,0.0154,3,74,22,5,55,39,0.03,13184400
700,0.6552,0.0144,35,22,43,5,126,71,0.12,13200100
701,0.9702,0.0147,41,0,59,5,268,72,0.47,13261900
702,1.0239,0.0144,19,48,33,5,123,49,0.06,13270000
703,0.9035,0.0147,66,15,19,5,71,19,-0.15,13249500
704,0.9494,0.0149,16,51,33,5,76,76,0.08,13260100
705,1.1857,0.0187,76,11,14,5,191,91,0.69,13352200
706,1.0466,0.0211,12,59,29,5,77,26,-0.04,13346500
707,0.8872,0.0221,50,29,22,5,130,217,-0.23,13316300
708,0.9061,0.0233,65,0,35,5,68,24,0.17,13338300
709,0.891,0.0246,27,66,7,5,101,80,0.09,13350100
710,0.8812,0.0251,1,99,0,5,77,98,0.09,13361600
711,0.7841,0.0249,43,0,57,5,119,54,-0.17,13339100
712,0.7475,0.0248,20,30,51,5,33,12,-0.03,13335600
713,0.7058,0.024,13,32,56,5,79,28,-0.05,13329000
714,0.6124,0.0222,59,1,40,5,80,52,-0.18,13305500
715,0.5741,0.0202,23,11,66,5,81,17,-0.04,13300400
716,0.5303,0.0184,71,0,29,5,45,31,-0.04,13294600
717,0.5712,0.0165,16,23,61,5,68,22,0.12,13309900
718,0.4977,0.0145,55,20,25,5,63,102,-0.08,13299800
719,0.4005,0.0122,28,38,34,5,148,72,-0.08,13289400
720,0.5989,0.0098,95,0,5,5,64,83,0.26,13324600
721,0.5269,0.0092,28,72,0,5,50,58,-0.05,13317800
722,0.526,0.0086,9,72,19,5,56,13,0.02,13320000
723,0.3977,0.0073,46,33,21,5,37,18,-0.07,13310100
724,0.5166,0.006,56,44,0,5,55,43,0.11,13324600
725,-0.1366,0.007,62,31,7,5,139,54,-0.49,13259300
726,-0.3946,0.0118,100,0,0,5,211,50,-0.68,13169400
727,-0.0875,0.014,58,29,13,5,81,42,0.19,13194300
728,0.0847,0.0149,51,21,29,5,75,49,0.16,13215100
729,0.1602,0.0152,39,3,58,5,54,28,0.05,13222300
730,0.2059,0.015,78,21,1,5,57,39,0.03,13225700
731,0.2365,0.015,1,28,71,5,45,28,0,13226300
732,0.0658,0.0158,83,0,17,5,66,42,-0.35,13180100
733,0.0883,0.0165,11,25,64,5,62,27,-0.05,13173200
734,0.143,0.0172,20,68,12,5,67,21,0.02,13175400
735,0.3619,0.017,98,0,2,5,80,57,0.35,13221500
736,0.3533,0.0169,41,38,21,5,34,7,-0.04,13215800
737,0.4772,0.0164,42,10,49,5,75,55,0.19,13240300
738,0.514,0.016,18,0,82,5,74,104,0.04,13245500
739,0.4648,0.0157,20,50,30,5,143,107,-0.1,13232400
740,0.4141,0.0146,94,3,3,5,48,89,-0.11,13217800
741,0.6618,0.0135,69,31,0,5,65,24,0.32,13260400
742,0.4951,0.012,87,13,0,5,46,11,-0.26,13226000
743,0.6144,0.0106,58,0,42,5,53,31,0.1,13239300
744,0.4837,0.008,99,0,1,5,26,9,-0.18,13216100
745,0.2086,0.0077,93,7,0,5,84,29,-0.24,13184400
746,0.731,0.0072,75,25,0,5,87,100,0.42,13239600
747,0.6687,0.0071,43,57,0,5,34,18,-0.03,13235500
748,0.2345,0.0073,79,0,21,5,66,58,-0.32,13192800
749,-0.0998,0.0088,69,22,10,5,161,33,-0.36,13145100
750,-0.1241,0.0107,71,22,7,5,182,37,-0.18,13121500
751,0.1112,0.0114,57,19,24,5,63,16,0.2,13147200
752,0.3818,0.0113,70,11,20,5,43,91,0.31,13188300
753,0.7727,0.0114,94,0,6,5,78,88,0.47,13250900
754,0.9384,0.0122,74,26,0,5,170,66,0.26,13285900
755,0.8273,0.0128,19,42,38,5,144,31,-0.1,13273100
756,0.866,0.0135,37,62,2,5,99,57,0.1,13287000
757,1.0312,0.0154,56,35,9,5,124,22,0.36,13334600
758,0.9052,0.0166,49,12,39,5,228,17,-0.12,13318600
759,0.9456,0.0181,53,0,47,5,88,55,0.18,13342300
760,0.9884,0.0202,99,1,0,5,101,58,0.24,13374000
761,1.2188,0.0268,94,6,0,5,264,207,1.03,13511500
762,1.0699,0.0314,9,13,78,5,190,76,-0.03,13507000
763,0.948,0.0343,38,37,25,5,193,54,-0.15,13486200
764,0.8772,0.0362,12,70,18,5,335,74,-0.07,13476700
765,0.8452,0.0373,34,0,66,5,172,57,0.03,13481200
766,0.8692,0.0392,74,26,0,5,103,71,0.26,13516800
767,0.9333,0.0422,72,14,15,5,213,104,0.51,13585200
768,0.8635,0.0434,18,52,30,5,298,98,-0.11,13570800
769,0.6772,0.0413,86,0,14,5,468,58,-0.71,13474500
770,0.7583,0.0384,76,4,20,5,182,45,0.41,13530000
771,0.7012,0.0349,100,0,0,5,57,32,-0.15,13509500
772,0.6397,0.0315,50,48,1,5,142,29,-0.15,13489400
773,0.4276,0.0291,84,12,4,5,251,83,-0.59,13409900
774,0.4048,0.0273,1,85,14,5,145,52,0,13409500
775,0.498,0.0246,58,26,16,5,149,84,0.32,13452700
776,0.5744,0.0219,45,22,33,5,84,49,0.24,13485200
777,0.4302,0.0201,70,0,30,5,86,23,-0.26,13450200
778,0.6689,0.0175,100,0,0,5,66,32,0.51,13518800
779,0.6988,0.015,30,58,13,5,64,23,0.07,13528600
780,0.674,0.013,36,28,36,5,61,32,-0.02,13526500
781,0.7915,0.0134,8,62,30,5,108,28,0.18,13550800
782,0.3539,0.0135,79,21,0,5,76,25,-0.6,13469400
783,0.1468,0.0143,77,23,0,5,108,63,-0.33,13424900
784,0.0802,0.0154,51,1,48,5,81,37,-0.17,13401800
785,0.3008,0.0157,87,2,11,5,76,26,0.32,13445300
786,0.3283,0.0158,8,0,92,5,36,28,0.02,13447500
787,0.2761,0.0145,30,0,69,5,47,23,-0.11,13432600
788,-0.0648,0.0152,86,14,0,5,160,80,-0.62,13349500
789,0.2135,0.0158,68,32,0,5,79,39,0.38,13400800
790,-0.0371,0.0173,67,33,0,5,147,83,-0.56,13326200
791,0.016,0.0189,18,43,39,5,59,37,-0.05,13319300
792,0.1282,0.0198,34,51,16,5,71,23,0.12,13335500
793,0.1583,0.0208,7,4,89,5,55,71,0,13335300
794,0.432,0.0207,86,14,0,5,67,52,0.57,13411700
795,0.3342,0.0209,69,4,28,5,120,93,-0.23,13380400
796,0.5863,0.0206,100,0,0,5,79,30,0.51,13449100
797,0.7228,0.021,79,21,0,5,125,86,0.3,13490000
798,0.6889,0.0203,51,10,39,5,146,93,-0.1,13476700
799,0.6844,0.0194,25,0,75,5,64,90,-0.05,13470100
800,0.7218,0.0184,6,67,27,5,80,132,0.03,13474300
801,0.5011,0.0161,45,27,28,5,141,82,-0.46,13412900
802,0.5582,0.0156,37,0,63,5,56,17,0.07,13422500
803,0.7126,0.0159,45,20,35,5,52,27,0.26,13457200
804,0.7075,0.0162,13,1,87,5,52,22,0.02,13459800
805,0.6985,0.0163,5,4,91,5,66,51,-0.01,13458900
806,0.6857,0.0164,7,41,52,5,69,24,-0.02,13456800
807,0.5791,0.0164,30,21,49,5,116,15,-0.17,13433400
808,0.6753,0.0159,92,8,0,5,55,13,0.19,13459000
809,0.7146,0.0162,10,90,0,5,76,27,0.09,13471700
810,0.5675,0.0147,76,24,0,5,44,28,-0.2,13444300
811,0.6786,0.0128,60,0,40,5,72,32,0.18,13469100
812,0.6902,0.0108,75,1,25,5,28,6,0.03,13473000
813,0.6986,0.0079,2,1,97,5,54,27,0,13473400
814,0.8876,0.008,100,0,0,5,65,61,0.18,13498000
815,0.7495,0.0062,72,20,7,5,51,16,-0.12,13482400
816,0.8859,0.0065,90,5,5,5,50,45,0.12,13498100
817,0.6947,0.0064,52,48,0,5,66,14,-0.13,13480400
818,0.5221,0.0063,27,49,24,5,77,42,-0.11,13464900
819,0.8425,0.0067,51,49,0,5,93,30,0.22,13495000
820,1.1476,0.0082,88,11,1,5,100,42,0.33,13539400
821,1.1242,0.009,90,10,0,5,105,33,0.08,13549800
822,1.0299,0.0094,35,2,63,5,101,71,-0.01,13548000
823,0.9347,0.0101,61,13,25,5,81,53,-0.03,13544400
824,0.887,0.0107,2,26,72,5,111,122,0,13545000
825,0.501,0.0105,65,24,11,5,133,96,-0.4,13491000
826,0.5052,0.0102,16,67,17,5,70,13,0.02,13493400
827,-0.0435,0.0108,76,6,18,5,127,77,-0.6,13412200
828,0.3069,0.0108,58,0,42,5,201,28,0.38,13463800
829,0.5011,0.0107,47,0,53,5,79,18,0.22,13493100
830,0.4668,0.0102,1,1,98,5,76,13,-0.02,13490700
831,0.5895,0.01,28,4,68,5,93,25,0.14,13509400
832,0.4592,0.0099,50,0,50,5,80,26,-0.12,13492800
833,0.4894,0.0098,41,59,0,5,32,9,0.04,13498100
834,0.4139,0.0098,28,30,42,5,57,15,-0.08,13487600
835,0.7132,0.0099,46,54,0,5,107,14,0.31,13529900
836,0.6239,0.01,26,33,41,5,93,26,-0.08,13519100
837,0.4753,0.0099,93,4,3,5,119,23,-0.14,13500100
838,0.4962,0.0095,15,58,27,5,84,21,0.04,13504900
839,0.5198,0.0095,20,78,2,5,75,26,0.03,13508600
840,0.4603,0.0092,26,43,31,5,77,62,-0.07,13499100
841,0.3276,0.0088,16,0,84,5,132,153,-0.14,13480100
842,0.3254,0.0083,7,40,52,5,61,31,-0.02,13477500
843,0.6041,0.0077,94,6,0,5,35,21,0.21,13505900
844,0.6589,0.007,7,62,31,5,26,3,0.02,13508200
845,0.813,0.0073,32,23,45,5,45,29,0.13,13525700
846,0.5398,0.0073,89,11,0,5,43,11,-0.2,13499200
847,0.4927,0.0046,0,0,100,5,20,11,0,13499200
848,-0.4118,0.0071,74,20,6,5,196,68,-0.66,13410000
849,-0.1798,0.009,5,95,0,5,203,48,0,13409900
850,-0.1075,0.0109,55,40,6,5,86,41,-0.08,13399000
851,-0.0933,0.0129,68,18,13,5,67,30,-0.15,13378700
852,0.0509,0.0141,50,46,5,5,121,88,0.09,13391200
853,0.2517,0.0144,79,9,11,5,72,50,0.25,13424700
854,0.1593,0.0151,43,0,57,5,51,15,-0.19,13399000
855,0.4914,0.0146,98,2,0,5,140,39,0.48,13463500
856,0.4738,0.0141,7,30,63,5,99,25,-0.05,13457100
857,0.5591,0.0139,44,50,6,5,79,16,0.11,13471700
858,0.3935,0.0136,7,46,47,5,40,21,-0.25,13437800
859,0.4096,0.0132,14,44,42,5,89,58,0,13437700
860,0.4507,0.0129,72,1,28,5,48,6,0.03,13442400
861,0.6991,0.0129,77,2,21,5,169,45,0.32,13485800
862,0.7584,0.0132,44,51,5,5,114,57,0.09,13498000
863,0.8688,0.0134,63,37,0,5,136,39,0.16,13519600
864,0.9111,0.0139,39,61,0,5,88,19,0.09,13531100
865,0.8381,0.0137,100,0,0,5,43,96,-0.11,13516000
866,0.8672,0.0142,26,70,4,5,64,127,0.07,13525000
867,0.7908,0.0144,39,61,0,5,42,19,-0.1,13511800
868,0.5887,0.0141,56,44,1,5,59,17,-0.27,13475600
869,0.6643,0.0138,52,0,48,5,71,19,0.13,13493600
870,0.6881,0.0133,10,88,2,5,65,24,0.06,13501900
871,0.7999,0.0123,38,26,36,5,133,46,0.17,13525300
872,0.8917,0.0117,86,3,12,5,98,42,0.14,13544900
873,0.7988,0.0114,84,16,0,5,46,35,-0.08,13534700
874,0.7909,0.01,1,0,99,5,67,112,0,13534800
875,0.7819,0.0101,34,66,0,5,58,46,0.02,13537700
876,0.4247,0.0097,67,30,3,5,126,78,-0.35,13490900
877,0.4129,0.0096,42,57,1,5,84,21,0,13490500
878,0.5567,0.0085,40,60,0,5,75,32,0.16,13512000
