BBPW,BBW,IntervalInMinute,TC,V,PCP
0.0453,0.0147,5,316,155,-0.15
0.0106,0.0163,5,251,61,-0.16
0.008,0.0182,5,86,10,-0.15
0.2507,0.0185,5,111,74,0.4
0.2393,0.0187,5,113,47,-0.07
0.2244,0.0189,5,115,41,-0.08
0.4022,0.0183,5,187,87,0.31
0.4546,0.0181,5,143,70,0.08
0.5968,0.0181,5,103,13,0.25
0.7871,0.0165,5,107,25,0.27
0.678,0.0138,5,57,34,-0.27
0.7699,0.0127,5,82,58,0.08
0.6585,0.0114,5,80,20,-0.19
0.5579,0.0112,5,83,26,-0.12
0.7563,0.0114,5,119,60,0.23
0.6565,0.0115,5,76,31,-0.11
0.572,0.0115,5,47,20,-0.09
0.6952,0.0117,5,143,54,0.15
0.5099,0.0117,5,53,17,-0.22
0.6269,0.0117,5,41,103,0.15
0.5713,0.0114,5,20,9,-0.05
0.6372,0.0105,5,60,32,0.1
0.5821,0.0085,5,38,27,-0.03
0.4807,0.008,5,90,144,-0.07
0.4682,0.0071,5,97,40,0.01
0.1633,0.0055,5,77,22,-0.15
0.4,0.0052,5,90,47,0.14
0.3481,0.005,5,57,15,-0.02
0.212,0.0051,5,70,37,-0.08
-0.0589,0.0044,5,60,91,-0.13
-0.089,0.0049,5,68,186,-0.07
-0.0183,0.005,5,87,46,0.01
-0.1191,0.006,5,84,78,-0.14
-0.0065,0.0068,5,87,20,0.01
-0.1389,0.0079,5,139,63,-0.2
0.0347,0.0086,5,134,104,0.08
-0.0903,0.0102,5,309,114,-0.24
-0.1519,0.0122,5,325,59,-0.26
0.0717,0.0132,5,138,84,0.2
0.102,0.0138,5,82,33,-0.03
0.0417,0.0149,5,87,46,-0.19
0.0331,0.0158,5,204,38,-0.12
0.0434,0.0166,5,463,195,-0.09
0.4729,0.016,5,338,169,0.69
0.5518,0.0152,5,181,38,0.1
0.8982,0.0158,5,211,90,0.56
1.0251,0.0171,5,130,158,0.28
0.8963,0.0176,5,87,53,-0.19
0.8142,0.0179,5,110,57,-0.13
0.9383,0.0194,5,88,24,0.31
0.7709,0.0199,5,83,126,-0.29
0.7965,0.0206,5,70,52,0.09
0.8045,0.0215,5,94,37,0.08
0.7995,0.0224,5,110,18,0.05
0.6504,0.0224,5,67,24,-0.3
0.6381,0.0225,5,49,14,0
0.6124,0.0222,5,45,33,-0.02
0.6567,0.0213,5,76,40,0.14
0.647,0.0207,5,36,8,0.02
0.5429,0.0197,5,133,170,-0.18
0.5199,0.0177,5,152,72,0
0.5304,0.0146,5,74,39,0.07
0.4176,0.0091,5,46,40,-0.06
0.3912,0.0072,5,75,87,0.03
0.2385,0.0053,5,86,29,-0.04
0.2551,0.0054,5,87,115,0
0.2723,0.0049,5,55,32,0
0.2941,0.0049,5,46,15,0
0.2496,0.005,5,37,96,-0.03
0.0085,0.0046,5,65,49,-0.13
0.0351,0.005,5,39,15,-0.02
-0.0058,0.0054,5,53,22,-0.06
0.0847,0.0053,5,89,50,0.03
-0.2282,0.0058,5,68,17,-0.24
0.087,0.0062,5,33,9,0.15
-0.0039,0.0069,5,64,25,-0.12
0.0851,0.0074,5,163,60,0.02
0.4423,0.0071,5,90,14,0.25
0.3821,0.0066,5,80,25,-0.06
0.3911,0.0065,5,38,29,0
0.3274,0.0064,5,50,23,-0.05
0.5213,0.0061,5,76,47,0.11
0.4048,0.0059,5,80,15,-0.08
0.372,0.0055,5,68,76,-0.03
0.4033,0.0052,5,85,41,0.01
0.423,0.0049,5,94,53,0
0.5817,0.0044,5,86,71,0.06
0.6628,0.0039,5,48,13,0.02
0.6638,0.0035,5,113,40,-0.02
-0.3344,0.0052,5,194,191,-0.52
0.3617,0.0052,5,95,38,0.36
1.0168,0.0059,5,126,82,0.39
0.4712,0.0058,5,68,22,-0.32
0.5637,0.0056,5,62,41,0.06
0.5342,0.0056,5,44,24,-0.01
0.4814,0.0054,5,33,3,-0.02
0.5254,0.0052,5,78,66,0.03
0.609,0.0052,5,68,103,0.04
0.8468,0.0054,5,70,29,0.14
0.6347,0.0055,5,75,73,-0.11
0.8999,0.0059,5,53,53,0.18
0.4886,0.0059,5,106,56,-0.25
0.3775,0.0059,5,74,69,-0.07
0.5817,0.0059,5,63,110,0.12
0.2012,0.0061,5,58,25,-0.24
0.9048,0.0066,5,105,46,0.47
0.9586,0.0073,5,109,24,0.08
0.6667,0.0073,5,84,22,-0.2
0.3756,0.0074,5,80,64,-0.22
0.2914,0.0058,5,34,21,-0.01
0.1931,0.0058,5,51,11,-0.06
0.2272,0.0057,5,35,34,0
0.2168,0.0058,5,41,116,-0.01
0.2376,0.006,5,48,43,0
0.0009,0.0067,5,44,12,-0.19
0.2839,0.0068,5,42,9,0.18
0.2614,0.007,5,39,6,-0.03
0.3781,0.007,5,52,11,0.07
0.7414,0.007,5,39,8,0.25
0.7033,0.007,5,36,8,-0.02
1.0472,0.0077,5,72,46,0.28
0.1207,0.0082,5,86,44,-0.74
0.408,0.0082,5,47,38,0.23
0.5169,0.0082,5,47,12,0.09
0.2275,0.0083,5,27,14,-0.24
0.2581,0.008,5,57,33,0.01
0.628,0.0071,5,31,20,0.27
0.6122,0.0068,5,16,14,-0.02
0.5718,0.0068,5,25,5,-0.03
0.5394,0.0068,5,41,20,-0.02
0.3629,0.0068,5,13,2,-0.12
0.2263,0.007,5,52,21,-0.11
0.6708,0.0071,5,90,40,0.32
0.3834,0.0071,5,63,29,-0.21
0.3715,0.0068,5,45,8,0
0.4009,0.0068,5,17,3,0.02
0.0354,0.0075,5,106,84,-0.29
0.0121,0.0083,5,54,47,-0.08
0.1865,0.0084,5,42,29,0.12
0.0667,0.0087,5,14,8,-0.15
-0.0184,0.0078,5,55,67,-0.08
0.0391,0.0085,5,49,12,0
0.001,0.0095,5,25,28,-0.11
0.0851,0.01,5,49,17,0.03
0.0956,0.0107,5,115,73,-0.05
0.2089,0.0111,5,80,22,0.09
0.0723,0.0115,5,72,25,-0.21
0.499,0.0109,5,107,35,0.47
0.3534,0.0104,5,43,10,-0.18
0.1336,0.0104,5,29,10,-0.27
0.0249,0.0111,5,83,13,-0.19
0.123,0.0116,5,81,17,0.06
0.1407,0.0108,5,90,56,0
0.0744,0.0108,5,75,21,-0.12
0.073,0.0107,5,90,18,-0.04
0.1341,0.0098,5,137,17,0.05
0.1776,0.0098,5,50,9,0.01
0.1577,0.0099,5,37,9,-0.06
0.0395,0.01,5,62,17,-0.17
0.0142,0.0107,5,161,31,-0.1
0.0818,0.0112,5,69,26,0.01
0.0588,0.0118,5,171,80,-0.1
-0.0885,0.0137,5,215,48,-0.34
-0.0314,0.0153,5,157,41,-0.07
-0.1709,0.0189,5,293,41,-0.55
-0.2338,0.0247,5,591,146,-0.67
-0.1762,0.0311,5,445,149,-0.43
-0.0029,0.0333,5,463,131,0.29
0.056,0.0351,5,121,25,-0.01
0.0674,0.0372,5,135,54,-0.18
0.111,0.0391,5,67,30,-0.03
0.0828,0.0411,5,67,17,-0.34
0.2954,0.0405,5,188,47,0.8
0.3154,0.0398,5,122,21,0
0.3638,0.0386,5,92,18,0.12
0.3976,0.0368,5,84,49,0.06
0.2311,0.0356,5,163,109,-0.71
0.3154,0.0333,5,80,56,0.23
0.2957,0.0312,5,79,102,-0.13
0.406,0.0284,5,114,65,0.28
0.4656,0.0247,5,65,21,0.1
0.6119,0.0204,5,86,55,0.24
0.7343,0.0172,5,96,57,0.13
0.8772,0.0138,5,34,15,0.08
0.5572,0.0122,5,47,18,-0.48
1.2523,0.0168,5,252,102,1.26
1.157,0.0205,5,115,39,0.17
0.8838,0.0217,5,93,38,-0.45
0.9768,0.024,5,111,144,0.38
0.8985,0.0252,5,59,95,-0.06
0.8623,0.0259,5,40,79,0.02
0.8011,0.0248,5,93,91,-0.09
0.8675,0.026,5,69,164,0.28
0.813,0.0268,5,72,121,-0.05
0.7248,0.0271,5,63,61,-0.17
0.6424,0.027,5,105,58,-0.18
0.6251,0.025,5,57,72,0.01
0.5535,0.0232,5,98,107,-0.13
0.2483,0.021,5,155,152,-0.62
0.1943,0.0199,5,107,33,-0.06
0.114,0.0195,5,64,50,-0.14
0.1027,0.02,5,102,142,-0.05
0.0572,0.0213,5,142,70,-0.17
0.1264,0.0224,5,106,55,0.09
0.1284,0.0223,5,62,93,0.01
0.2748,0.0225,5,141,138,0.28
0.3792,0.0219,5,172,95,0.2
0.4442,0.0219,5,80,76,0.13
0.6326,0.0213,5,132,84,0.39
0.5692,0.0207,5,60,31,-0.16
0.4311,0.02,5,81,36,-0.32
0.4785,0.0194,5,28,13,0.06
0.4699,0.0176,5,60,55,-0.06
0.4868,0.0158,5,62,41,-0.01
0.4128,0.0143,5,96,54,-0.15
0.3214,0.0133,5,39,40,-0.16
0.3355,0.012,5,79,18,0
0.3418,0.0109,5,50,41,-0.01
0.3465,0.0111,5,47,27,0
0.4491,0.0111,5,49,26,0.11
0.719,0.0111,5,47,35,0.32
0.4348,0.0108,5,54,20,-0.3
0.4318,0.01,5,69,84,0.02
0.8567,0.0098,5,153,83,0.46
0.8296,0.0095,5,119,31,0
0.7424,0.0095,5,70,118,-0.06
0.861,0.0101,5,26,6,0.15
0.7778,0.0104,5,58,44,-0.06
0.9448,0.0104,5,46,24,0.17
0.912,0.0108,5,64,104,-0.01
0.8164,0.0113,5,83,150,-0.07
0.7596,0.0116,5,69,121,-0.04
0.7549,0.012,5,70,66,0.02
0.5344,0.0119,5,105,65,-0.26
0.5398,0.0117,5,52,26,0.02
0.5889,0.0111,5,78,68,0.08
0.5347,0.0104,5,57,32,-0.04
0.3748,0.0094,5,41,44,-0.13
0.5865,0.0082,5,62,34,0.22
0.5711,0.0072,5,24,5,0.01
0.7203,0.0073,5,27,10,0.12
0.5173,0.006,5,44,28,-0.13
0.656,0.0044,5,42,10,0.09
0.1485,0.0046,5,24,14,-0.24
-0.0846,0.0055,5,48,23,-0.18
0.0508,0.006,5,51,25,0.04
-0.2251,0.0079,5,123,293,-0.34
-0.2363,0.0107,5,134,56,-0.26
-0.1066,0.0125,5,120,61,-0.02
-0.1474,0.015,5,97,23,-0.29
-0.014,0.0166,5,89,40,0.05
0.0253,0.0181,5,72,99,-0.07
0.0969,0.019,5,112,44,0.03
0.0729,0.0204,5,100,41,-0.17
0.2505,0.0207,5,166,126,0.31
0.2977,0.0206,5,35,7,0.05
0.3788,0.0203,5,98,45,0.13
0.6228,0.0201,5,66,22,0.49
0.6248,0.0194,5,72,30,-0.02
0.7072,0.0189,5,160,39,0.13
0.7629,0.018,5,106,28,0.07
0.8081,0.0176,5,173,64,0.06
0.8437,0.0171,5,68,18,0.03
0.8811,0.0175,5,82,68,0.09
0.7413,0.0176,5,96,110,-0.23
0.715,0.0176,5,81,30,-0.05
0.7499,0.0181,5,52,11,0.09
0.6894,0.0182,5,60,50,-0.08
0.6103,0.0181,5,51,10,-0.12
0.6162,0.0173,5,72,50,0.04
0.5595,0.0164,5,71,36,-0.07
0.4932,0.0151,5,69,23,-0.07
0.4385,0.0136,5,65,39,-0.04
0.5373,0.0108,5,130,75,0.17
0.7455,0.0093,5,84,41,0.23
0.8765,0.0076,5,67,26,0.11
0.8813,0.0061,5,85,19,-0.01
0.7556,0.0062,5,94,27,-0.06
0.8129,0.0063,5,58,95,0.06
0.0265,0.0069,5,161,64,-0.54
0.3175,0.007,5,94,82,0.19
0.423,0.007,5,57,61,0.07
0.3512,0.0069,5,61,31,-0.06
1.2233,0.0086,5,184,100,0.75
1.0889,0.0102,5,74,12,0.01
1.0288,0.0117,5,57,52,0.05
1.0366,0.0134,5,73,28,0.14
0.8297,0.014,5,109,46,-0.22
0.8041,0.0143,5,73,93,0.01
0.7129,0.0144,5,96,28,-0.1
0.8449,0.0148,5,67,99,0.25
0.9572,0.0155,5,162,40,0.26
1.0557,0.0169,5,113,23,0.31
0.9361,0.0177,5,59,14,-0.1
0.7757,0.0181,5,34,14,-0.23
0.7493,0.0184,5,84,13,0
0.7501,0.0187,5,73,35,0.05
0.7741,0.0189,5,70,60,0.1
0.5663,0.0185,5,97,16,-0.36
0.6076,0.0163,5,53,12,0.11
0.4941,0.0143,5,45,58,-0.14
0.5955,0.0123,5,38,22,0.17
0.3529,0.0089,5,58,46,-0.21
0.479,0.0086,5,51,36,0.12
0.4374,0.0084,5,63,22,-0.02
0.8261,0.0086,5,59,22,0.36
