BBPW,BBW,IntervalInMinute,TC,V,PCP
0.7058,0.0076,5,47,29,-0.03
0.6825,0.0067,5,48,29,-0.05
0.7904,0.0068,5,47,19,0.08
0.9868,0.0075,5,67,26,0.18
0.8932,0.0079,5,29,8,-0.04
1.2126,0.0104,5,225,50,0.47
1.0011,0.0117,5,135,37,-0.12
1.1158,0.0142,5,107,108,0.33
0.8297,0.0148,5,92,57,-0.35
0.8569,0.0148,5,61,14,0.1
0.8075,0.0141,5,46,8,-0.04
0.6523,0.0137,5,88,43,-0.19
0.6311,0.013,5,84,21,0
0.6983,0.0127,5,80,18,0.12
0.5157,0.0119,5,76,21,-0.21
0.5076,0.011,5,41,10,0.02
0.6727,0.0106,5,47,18,0.2
1.0272,0.011,5,212,57,0.45
0.8884,0.0112,5,78,57,-0.1
0.9456,0.0118,5,106,21,0.13
0.8965,0.0118,5,76,31,-0.01
0.771,0.0111,5,47,23,-0.12
0.6928,0.0102,5,61,73,-0.07
0.7836,0.0099,5,109,182,0.12
0.7782,0.0094,5,106,168,0.02
0.6363,0.0094,5,83,131,-0.12
0.5408,0.0094,5,79,58,-0.08
0.4441,0.0092,5,50,34,-0.1
0.3567,0.0092,5,65,28,-0.08
0.4422,0.0092,5,40,45,0.08
0.3637,0.0092,5,79,18,-0.07
0.4297,0.0088,5,69,26,0.08
0.5959,0.0084,5,60,22,0.16
0.5314,0.0081,5,29,18,-0.04
0.5686,0.0071,5,34,16,0.05
0.2044,0.0061,5,44,105,-0.22
0.1471,0.0059,5,60,105,-0.03
0.0812,0.0061,5,141,43,-0.07
0.1075,0.0065,5,61,115,-0.02
-0.0299,0.0069,5,120,65,-0.14
0.1971,0.0065,5,23,6,0.14
-0.1616,0.0079,5,172,59,-0.36
-0.1224,0.0094,5,189,41,-0.1
0.2503,0.0092,5,135,24,0.33
0.43,0.0085,5,110,66,0.15
0.3309,0.0082,5,47,60,-0.1
0.6202,0.008,5,77,22,0.23
0.4278,0.008,5,86,16,-0.16
0.752,0.0082,5,39,12,0.27
0.6429,0.0081,5,55,20,-0.09
0.52,0.0081,5,65,66,-0.1
0.5212,0.0081,5,59,86,-0.01
0.5684,0.0076,5,84,153,0.02
0.6139,0.0072,5,70,35,0.02
0.6469,0.0066,5,115,37,0
0.7079,0.0066,5,71,23,0.04
0.6929,0.0067,5,54,32,-0.01
0.6524,0.0068,5,73,175,-0.02
